number,package,version,incompatible python version,resource type
216,dm-sonnet,2.0.0,2.7,gz
217,droopescan,1.45.1,2.7,whl
218,eth-keys,0.3.3,2.7,gz
219,flask-mongoengine,1.0.0,2.7,gz
220,flask-themes2,1.0.0,2.7,gz
221,futu-api,5.9.2108,2.7,gz
222,geofuns,1.1.8,3.7,
223,goatools,1.1.5,2.7,gz
224,google-apitools,0.5.31,2.7,
225,graph-nets,1.1.0,2.7,
226,grpc-google-cloud-speech-v1beta1,1.0.1,2.7,whl
227,grpc-google-pubsub-v1,0.11.1,2.7,
228,grr-response-client,3.4.2.post4,3.10,
229,grr-response-server,3.4.2.post4,3.10,
230,hidapi,0.11.0.post2,2.7,
231,horovod,0.23.0,3.7,
232,hydra-core,1.1.1,2.7,gz
233,ibm-watson,5.3.0,2.7,gz
234,icontract,2.5.0,2.7,gz
235,img2pdf,0.4.0,2.7,gz
236,imgaug,0.4.0,2.7,
237,implicit,0.4.4,3.10,
238,indian-namematch,1.3.0,2.7,
239,indic-transliteration,2.3.2,3.5,whl
240,invenio-accounts,1.4.2,2.7,whl
241,invenio-files-rest,1.3.0,2.7,whl
242,invenio-records,1.6.0,2.7,whl
243,keras-retinanet,1.0.0,2.7,
244,labelme,4.5.6,2.7,
245,ledgerblue,0.1.34,2.7,
246,lesspass,10.0.2,2.7,gz
247,letsencrypt-apache,0.7.0,2.7,
248,litecli,1.6.0,2.7,whl
249,manimlib,0.2.0,2.7,
250,marisa-trie,0.7.5,3.10,
251,maya,0.6.1,2.7,
252,micropython-_markupbase,3.3.3,3.7,
253,mlxtend,0.19.0,2.7,whl
254,mmcv,1.3.0,2.7,gz
255,mpi4py,3.1.1,3.7,
256,mxnet-cu75,1.2.1.post1,3.10,
257,mxnet-cu75mkl,1.2.1.post1,3.10,
258,mxnet-cu91mkl,1.3.0,3.7,
259,myqr,2.3.1,2.7,
260,netron,5.3.1,3.7,
261,niceprint,3.3.0,3.7,
262,nni-daily,1.5.2005180104,3.10,
